title,brand,category,subcategory,price,volume,alc,country,url
Reinhart's Red Apple Light Cider,Reinhart,Cider,Traditional Cider,3.15,473,3.8,Canada,https://www.lcbo.com/en/reinhart-s-red-apple-light-cider-497651
Corona Extra,Corona,Lager,Pale Lager,16.5,1980,4.6,Canada,https://www.lcbo.com/en/corona-extra-17818
West Avenue Cider Heritage Dry,West Avenue Cider,Cider,Traditional Cider,3.8,473,6.5,Canada,https://www.lcbo.com/en/west-avenue-cider-heritage-dry-11172
Meuse Brewing Company Saison De La Meuse,Meuse Brewing,Ale,Belgian Ale,2.75,330,5.0,Canada,https://www.lcbo.com/en/meuse-brewing-company-saison-de-la-meuse-16429
Gaffel Kolsch,Gaffel,Ale,Lagered Ale,3.0,500,4.8,Germany,https://www.lcbo.com/en/gaffel-kolsch-430769
Erdinger Weissbier,Erdinger,Ale,Wheat Ale,3.8,500,5.2,Germany,https://www.lcbo.com/en/erdinger-weissbier-201715
Heineken,Heineken,Lager,Pale Lager,15.95,1980,5.0,Netherlands,https://www.lcbo.com/en/heineken-18
Weihenstephaner Hefeweissbier,Weihenstephaner,Ale,Wheat Ale,4.3,500,5.6,Germany,https://www.lcbo.com/en/weihenstephaner-hefeweissbier-75291
Left Field Brewery Bang Bang Dry Hopped Sour,Left Field Brewery,Ale,Sour Ale,3.8,355,5.3,Canada,https://www.lcbo.com/en/left-field-brewery-bang-bang-dry-hopped-sour-10869
Henderson's Best,Henderson Brewing,Ale,Pale Ale,3.4,473,5.5,Canada,https://www.lcbo.com/en/henderson-s-best-513044
Ardiel Cider House Big John Lightly Hopped Cider,Ardiel Cider,Cider,Flavoured Cider,3.65,473,6.5,Canada,https://www.lcbo.com/en/ardiel-cider-house-big-john-lightly-hopped-cider-25041
Creemore Session IPA,Creemore Springs,Ale,India Pale Ale (IPA),3.4,473,5.1,Canada,https://www.lcbo.com/en/creemore-springs-boundless-ipa-698415
Adnams Ghost Ship Pale Ale 0.5%,Adnams,Non-Alcoholic & Specialty,Non-Alcoholic Beer,9.95,1320,0.5,United Kingdom,https://www.lcbo.com/en/adnams-ghost-ship-pale-ale-0-5-18717
Duntroon Cider House Empire Extra Dry Cider,Duntrool,Cider,Traditional Cider,3.95,473,5.5,Canada,https://www.lcbo.com/en/duntroon-cider-house-empire-extra-dry-cider-19974
Clausthaler Premium Non Alcoholic,Clausthaler,Non-Alcoholic & Specialty,Non-Alcoholic Beer,2.4,500,0.01,Germany,https://www.lcbo.com/en/clausthaler-premium-non-alcoholic-589549
Eden Grove Hibiscus Blossom Cider,Eden Grove,Cider,Flavoured Cider,3.55,473,5.4,Canada,https://www.lcbo.com/en/eden-grove-hibiscus-blossom-cider-15492
Creemore Springs Premium Lager,Creemore Springs,Lager,Pale Lager,19.25,2838,5.0,Canada,https://www.lcbo.com/en/creemore-springs-premium-lager-541243
Cracked Canoe,Cracked Canoe,Lager,Pale Lager,16.95,2838,3.5,Canada,https://www.lcbo.com/en/cracked-canoe-19894
Strongbow Gold Apple Cider,Strongbow,Cider,Flavoured Cider,3.1,440,4.5,United Kingdom,https://www.lcbo.com/en/strongbow-gold-apple-cider-413849
No Boats On Sunday Pear Cider,No Boats on Sunday,Cider,Flavoured Cider,3.85,473,5.0,Canada,https://www.lcbo.com/en/no-boats-on-sunday-pear-cider-25036
Collective Arts Jam up the Mash,Collective Arts,Ale,Sour Ale,3.65,473,5.2,Canada,https://www.lcbo.com/en/collective-arts-jam-up-the-mash-549873
Okanagan Apple Cider,Okanagan Cider Company,Cider,Flavoured Cider,3.25,473,5.0,Canada,https://www.lcbo.com/en/okanagan-apple-cider-514851
Strongbow Cider,Strongbow,Cider,Flavoured Cider,25.0,3520,5.3,United Kingdom,https://www.lcbo.com/en/strongbow-cider-184796
Church Key Brewing West Coast Pale Ale,Church Key,Ale,Pale Ale,6.45,650,6.2,Canada,https://www.lcbo.com/en/church-key-brewing-west-coast-pale-ale-18315
Ace Hill Carb Free,Ace Hill,Lager,Pale Lager,9.95,1420,4.0,Canada,https://www.lcbo.com/en/ace-hill-carb-free-24826
Ace Hill Grapefruit Radler,Ace Hill,Non-Alcoholic & Specialty,Radler & Shandy,2.85,355,2.5,Canada,https://www.lcbo.com/en/ace-hill-grapefruit-radler-19656
Hofbrau Original Lager,Hofbrau,Lager,Pale Lager,3.7,500,5.1,Germany,https://www.lcbo.com/en/hofbrau-original-lager-319202
Flying Monkeys Juicy Ass,Flying Monkeys,Ale,India Pale Ale (IPA),3.65,473,6.5,Canada,https://www.lcbo.com/en/flying-monkeys-juicy-ass-508572
Longslice Sky Bison APA,Longslice Brewery,Ale,Pale Ale,3.3,473,5.0,Canada,https://www.lcbo.com/en/longslice-sky-bison-apa-26065
Erdinger Weissbier,Erdinger,Ale,Wheat Ale,3.4,500,5.3,Germany,https://www.lcbo.com/en/erdinger-weissbier-541375
Big Rig Gold,Big Rig Brewery,Ale,Pale Ale,3.1,473,5.0,Canada,https://www.lcbo.com/en/big-rig-gold-398255
Karlovacko Beer,Karlovacko,Lager,Pale Lager,2.55,500,5.0,Croatia,https://www.lcbo.com/en/karlovacko-beer-243725
Liberty Village Dry Cider,Liberty Village,Cider,Traditional Cider,3.55,473,4.5,Canada,https://www.lcbo.com/en/liberty-village-dry-cider-635227
Stiegl Bier,Stiegl,Lager,Pale Lager,3.25,500,4.9,Austria,https://www.lcbo.com/en/stiegl-bier-676106
Holsten Festbock,Holsten,Lager,Dark Lager,2.8,500,7.0,Germany,https://www.lcbo.com/en/holsten-festbock-334276
Erdinger Dunkel Weissbier,Erdinger,Ale,Wheat Ale,3.9,500,5.6,Germany,https://www.lcbo.com/en/erdinger-dunkel-weissbier-201723
Eden Grove Perfect Pear,Eden Grove,Cider,Flavoured Cider,3.45,473,5.4,Canada,https://www.lcbo.com/en/eden-grove-perfect-pear-457358
Somersby Red Rhubarb Cider,Somersby,Cider,Flavoured Cider,3.35,473,4.5,Canada,https://www.lcbo.com/en/somersby-red-rhubarb-cider-16003
Collective Arts Nature Of Things Dry Cider,Collective Arts,Cider,Traditional Cider,3.65,473,5.8,Canada,https://www.lcbo.com/en/collective-arts-nature-of-things-dry-cider-13571
Sierra Nevada Pale Ale,Sierra Nevada,Ale,Pale Ale,3.45,473,5.6,United States,https://www.lcbo.com/en/sierra-nevada-pale-ale-497487
Sleeman Original Draught,Sleeman,Lager,Pale Lager,16.5,2838,5.0,Canada,https://www.lcbo.com/en/sleeman-original-draught-383059
Lake of the Woods Sneaky Peach,Lake Of The Woods,Ale,Pale Ale,3.75,473,5.0,Canada,https://www.lcbo.com/en/lake-of-the-woods-sneaky-peach-16770
Okanagan Harvest Pear,Okanagan Cider Company,Cider,Flavoured Cider,3.25,473,5.0,Canada,https://www.lcbo.com/en/okanagan-harvest-pear-15299
Old Jock Russian Imperial Stout 20 Year Old,Old Jock,Ale,Stout & Porter,14.7,330,8.0,United Kingdom,https://www.lcbo.com/en/old-jock-russian-imperial-stout-20-year-old-25251
Ardiel Cider House Dry Cider,Ardiel Cider House,Cider,Traditional Cider,3.65,473,6.0,Canada,https://www.lcbo.com/en/ardiel-cider-house-dry-cider-497214
Super Bock,Super Bock,Lager,Dark Lager,12.95,1980,5.8,Portugal,https://www.lcbo.com/en/super-bock-335059
Cool Beer Blonde Lager,Cool Beer,Lager,Pale Lager,6.5,1420,5.0,Canada,https://www.lcbo.com/en/cool-beer-blonde-lager-10583
Collective Arts Guava Gose,Collective Arts,Ale,Sour Ale,3.75,473,4.9,Canada,https://www.lcbo.com/en/collective-arts-guava-gose-20219
MANITOULIN BREWING Pineapple Sour,Manitoulin Brewing,Ale,Sour Ale,3.6,473,NULL,Canada,https://www.lcbo.com/en/manitoulin-brewing-pineapple-sour-16533
PEI Brewing Gahan Blueberry Ale,PEI Brewing,Ale,Flavoured & Spiced Beer,3.25,473,4.5,Canada,https://www.lcbo.com/en/pei-brewing-gahan-blueberry-ale-489351
Railway City Orange Creamsic Ale,Railway City,Ale,Flavoured & Spiced Beer,3.5,473,4.8,Canada,https://www.lcbo.com/en/railway-city-orange-creamsic-ale-479030
Labatt Blue,Labatt,Lager,Pale Lager,2.0,473,5.0,Canada,https://www.lcbo.com/en/labatt-blue-696468
Left Field Brewery Squeeze Play Rainbow Sherbet,Left Field,Ale,Sour Ale,3.95,355,4.8,Canada,https://www.lcbo.com/en/left-field-brewery-squeeze-play-rainbow-sherbet-20835
Lezajsk Beer,Lezajsk,Lager,Pale Lager,2.55,500,5.5,Poland,https://www.lcbo.com/en/lezajsk-beer-540468
Ebb & Flow Raspberry Lemon Yuzu,Muskoka Brewery,Ale,Sour Ale,3.75,473,5.0,Canada,https://www.lcbo.com/en/ebb-flow-raspberry-lemon-yuzu-20431
Brasserie Tuque De Broue Tuque Doree,Brasserie Tuque de Broue,Ale,Pale Ale,3.75,473,4.5,Canada,https://www.lcbo.com/en/brasserie-tuque-de-broue-tuque-doree-461665
Budweiser,Budweiser,Lager,Pale Lager,43.95,8184,5.0,Canada,https://www.lcbo.com/en/budweiser-902635
Puppers Premium Lager,Mill Street,Lager,Pale Lager,3.3,473,5.0,Canada,https://www.lcbo.com/en/puppers-premium-lager-19605
